year,eq_factor_tentative,eq_factor_final
1980,1.7296,1.7432
1981,1.8364,1.8548
1982,1.9288,1.9288
1983,1.9122,1.9122
1984,1.8445,1.8445
1985,1.8085,1.8885
1986,1.8293,1.8486
1987,1.8809,1.8916
1988,1.9266,1.9266
1989,1.9133,1.9133
1990,1.9946,1.9946
1991,2.0348,2.0523
1992,2.0897,2.0897
1993,2.1407,2.1407
1994,2.1135,2.1135
1995,2.1243,2.1243
1996,2.1517,2.1517
1997,2.1489,2.1489
1998,2.1799,2.1799
1999,2.2505,2.2505
2000,2.1813,2.2235
2001,2.2612,2.3098
2002,2.4364,2.4689
2003,2.3858,2.4598
2004,2.5023,2.5757
2005,2.6771,2.732
2006,2.6244,2.7076
2007,2.75,2.8439
2008,2.9058,2.9786
2009,3.1062,3.3701
2010,3.1773,3.3
2011,2.8983,2.9706
2012,2.7432,2.8056
2013,2.6039,2.6621
2014,2.6621,2.7253
2015,2.6059,2.6685
2016,2.7455,2.8032
2017,2.9084,2.9627
2018,2.8366,2.9109
2019,2.7523,2.916
2020,3.0861,3.2234
2021,2.7297,3.0027
2022,2.723,2.9237
2023,2.8414,3.0163
