pin10,appellant,year,longitude,latitude,group,pin,keypin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appealid,year_appealed,geometry
2909407001,SOUTH HOLLAND SIBLEY L,2022,-87.62185330079987,41.62237456941257,1,29094070010000,NA,NA,NA,NA,NA,3715838 - SOUTH HOLLAND SIBLEY L,4,Non-Incentive,3715838,2023,"list(list(c(-87.62191, -87.62191, -87.62179, -87.6218, -87.62191, 41.62254, 41.6222, 41.62221, 41.62255, 41.62254)))"
2909407002,SOUTH HOLLAND SIBLEY L,2022,-87.62174615628976,41.62237578593174,1,29094070020000,NA,NA,NA,NA,NA,3715838 - SOUTH HOLLAND SIBLEY L,4,Non-Incentive,3715838,2023,"list(list(c(-87.6217, -87.6217, -87.6218, -87.62179, -87.6217, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407003,SOUTH HOLLAND SIBLEY L,2022,-87.62165160008112,41.622376827423004,1,29094070030000,NA,NA,NA,NA,NA,3715838 - SOUTH HOLLAND SIBLEY L,4,Non-Incentive,3715838,2023,"list(list(c(-87.62165, -87.6216, -87.6216, -87.6217, -87.6217, -87.62165, 41.62221, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407004,SOUTH HOLAND SIBLEY,2022,-87.62155949586807,41.62237621454241,1,29094070040000,NA,NA,NA,NA,NA,3716708 - SOUTH HOLAND SIBLEY,4,Non-Incentive,3716708,2017,"list(list(c(-87.62151, -87.62152, -87.6216, -87.6216, -87.62151, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407005,SOUTH HOLAND SIBLEY,2022,-87.62146801010942,41.62237662564076,1,29094070050000,NA,NA,NA,NA,NA,3716708 - SOUTH HOLAND SIBLEY,4,Non-Incentive,3716708,2017,"list(list(c(-87.62142, -87.62142, -87.62152, -87.62151, -87.62142, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407006,FAVORITE STOP INC,2022,-87.62137469126881,41.62237729423723,1,29094070060000,NA,NA,2323308134,5,2020,3717136 - FAVORITE STOP INC,11,Non-Incentive,3717136,2023,"list(list(c(-87.62133, -87.62133, -87.62142, -87.62142, -87.62133, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407007,FAVORITE STOP INC,2022,-87.6212842400373,41.62237823920203,1,29094070070000,NA,NA,2323308134,5,2020,3717136 - FAVORITE STOP INC,11,Non-Incentive,3717136,2023,"list(list(c(-87.62124, -87.62124, -87.62133, -87.62133, -87.62124, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407008,FAVORITE STOP INC,2022,-87.62119500475374,41.62237782789111,1,29094070080000,NA,NA,2323308134,5,2020,3717136 - FAVORITE STOP INC,11,Non-Incentive,3717136,2023,"list(list(c(-87.62115, -87.62115, -87.62124, -87.62124, -87.62115, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407009,FAVORITE STOP INC,2022,-87.62110086188488,41.622378499792255,1,29094070090000,NA,NA,2323308134,5,2020,3717136 - FAVORITE STOP INC,11,Non-Incentive,3717136,2023,"list(list(c(-87.62105, -87.62105, -87.62115, -87.62115, -87.62105, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909407010,FAVORITE STOP INC,2022,-87.6209923026517,41.622378748811904,1,29094070100000,NA,NA,2323308134,5,2020,3717136 - FAVORITE STOP INC,11,Non-Incentive,3717136,2023,"list(list(c(-87.62093, -87.62093, -87.62105, -87.62105, -87.62093, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408001,A W GREEN MANAGEMENT,2022,-87.62062961089441,41.62238099976677,2,29094080010000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62057, -87.62057, -87.62069, -87.62069, -87.62069, -87.62057, 41.62221, 41.62255, 41.62255, 41.62227, 41.62221, 41.62221)))"
2909408002,A W GREEN MANAGEMENT,2022,-87.62052634627979,41.62238082831967,2,29094080020000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62048, -87.62048, -87.62057, -87.62057, -87.62048, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408003,A W GREEN MANAGEMENT,2022,-87.62043568393703,41.62238278043849,2,29094080030000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62039, -87.62039, -87.62048, -87.62048, -87.62039, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408004,A W GREEN MANAGEMENT,2022,-87.62034309734993,41.62238121790535,2,29094080040000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62029, -87.6203, -87.62039, -87.62039, -87.62029, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408005,A W GREEN MANAGEMENT,2022,-87.62025052955698,41.62238203071091,2,29094080050000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.6202, -87.62021, -87.6203, -87.62029, -87.6202, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408006,A W GREEN MANAGEMENT,2022,-87.62016007921412,41.62238343630756,2,29094080060000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62011, -87.62012, -87.62018, -87.62021, -87.6202, -87.62011, 41.62221, 41.62255, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408007,A W GREEN MANAGEMENT,2022,-87.62006939771742,41.62238309453819,2,29094080070000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.62002, -87.62002, -87.62012, -87.62011, -87.62002, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408008,A W GREEN MANAGEMENT,2022,-87.61997787299555,41.622382494790294,2,29094080080000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.61993, -87.61993, -87.62002, -87.62002, -87.61993, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408009,A W GREEN MANAGEMENT,2022,-87.61988720087663,41.622383522546734,2,29094080090000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.61984, -87.61984, -87.61993, -87.61993, -87.61984, 41.62221, 41.62255, 41.62255, 41.62221, 41.62221)))"
2909408010,A W GREEN MANAGEMENT,2022,-87.61972283165684,41.62237569088171,2,29094080100000,NA,NA,NA,NA,NA,3717996 - A W GREEN MANAGEMENT,12,Non-Incentive,3717996,2023,"list(list(c(-87.61972, -87.61972, -87.61982, -87.61984, -87.61984, -87.61983, -87.61972, -87.6196, -87.6196, -87.61972, 41.62252, 41.62255, 41.62255, 41.62255, 41.62221, 41.62221, 41.62221, 41.62221, 41.62252, 41.62252)))"
2909409001,SIBLEY SC 2 INC,2022,-87.61947622644036,41.62236792790696,2,29094090010000,NA,INTERNATIONAL BK CHGO,1326829064,1,2013,3718005 - SIBLEY SC 2 INC,12,Non-Incentive,3718005,2023,"list(list(c(-87.61935, -87.61936, -87.61947, -87.6196, -87.6196, -87.61947, -87.61935, 41.62222, 41.62252, 41.62252, 41.62252, 41.62221, 41.62221, 41.62222)))"
2909409002,SIBLEY SC 2 INC,2022,-87.6193103720697,41.62236896012837,2,29094090020000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,12,Non-Incentive,3718005,2023,"list(list(c(-87.61926, -87.61927, -87.61936, -87.61935, -87.61926, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409003,SIBLEY SC 2 INC,2022,-87.61921939620629,41.6223688802918,2,29094090030000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,12,Non-Incentive,3718005,2023,"list(list(c(-87.61917, -87.61917, -87.61927, -87.61926, -87.61917, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409004,SIBLEY SC 2 INC,2022,-87.61912983627283,41.622369805500675,2,29094090040000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,12,Non-Incentive,3718005,2023,"list(list(c(-87.61909, -87.61909, -87.61917, -87.61917, -87.61909, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409005,SIBLEY SC 2 INC,2022,-87.61903656058882,41.62236966349126,2,29094090050000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.61906, -87.61899, -87.61899, -87.61909, -87.61909, -87.61906, 41.62222, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409006,SIBLEY SC 2 INC,2022,-87.618942760606,41.62236979439739,2,29094090060000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.6189, -87.6189, -87.61899, -87.61899, -87.6189, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409007,SIBLEY SC 2 INC,2022,-87.61885090526377,41.6223699265211,2,29094090070000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.6188, -87.6188, -87.6189, -87.6189, -87.6188, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409008,SIBLEY SC 2 INC,2022,-87.61875922188406,41.62237024913798,2,29094090080000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.61871, -87.61872, -87.6188, -87.6188, -87.61871, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409009,SIBLEY SC 2 INC,2022,-87.61867000615872,41.62236996555938,2,29094090090000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.61862, -87.61863, -87.61872, -87.61871, -87.61862, 41.62222, 41.62252, 41.62252, 41.62222, 41.62222)))"
2909409010,SIBLEY SC 2 INC,2022,-87.61856474963184,41.62237014881252,2,29094090100000,NA,"SIBLEY SHOPPING CENTER #2, INC.",1333647121,10,2013,3718005 - SIBLEY SC 2 INC,11,Non-Incentive,3718005,2023,"list(list(c(-87.61862, -87.6185, -87.61851, -87.61863, -87.61862, 41.62222, 41.62222, 41.62252, 41.62252, 41.62222)))"
2909410066,NA,2022,-87.61800864383082,41.621312019403014,3,29094100660000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,"list(list(c(-87.61776, -87.61776, -87.61776, -87.61779, -87.61825, -87.61825, -87.61779, -87.61776, 41.62129, 41.62132, 41.62134, 41.62134, 41.62134, 41.62128, 41.62129, 41.62129)))"
2909419031,WHITE HILL INC,2022,-87.6194265680904,41.61593945238609,4,29094190310000,NA,NA,2402933269,2,2024,3717550 - WHITE HILL INC,9,Non-Incentive,3717550,2023,"list(list(c(-87.61938, -87.61938, -87.61938, -87.61938, -87.61948, -87.61948, -87.61947, -87.61937, -87.61938, -87.61938, 41.61588, 41.61619, 41.61623, 41.61638, 41.61638, 41.61637, 41.61549, 41.61549, 41.61584, 41.61588)))"
2909419039,NA,2022,-87.62300192211922,41.615977495847154,5,29094190390000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,"list(list(c(-87.62278, -87.62279, -87.62322, -87.62322, -87.62322, -87.62278, 41.61549, 41.6165, 41.61643, 41.61605, 41.61549, 41.61549)))"
2909419040,MACIEL LLC,2022,-87.62259437505037,41.61600189424015,5,29094190400000,NA,NA,NA,NA,NA,3718205 - MACIEL LLC,7,Non-Incentive,3718205,2023,"list(list(c(-87.62241, -87.6224, -87.62272, -87.62278, -87.62279, -87.62278, -87.62241, 41.61549, 41.61653, 41.6165, 41.6165, 41.6165, 41.61549, 41.61549)))"
2909419041,MACIEL LLC,2022,-87.62222535496316,41.616033728326116,5,29094190410000,NA,MACIEL LLC,1934608168,1,2019,3716541 - MACIEL LLC,5,Non-Incentive,3716541,2023,"list(list(c(-87.62205, -87.62205, -87.62236, -87.6224, -87.62241, -87.62205, 41.61549, 41.61662, 41.61654, 41.61653, 41.61549, 41.61549)))"
